Publisher;Subscribers;All-time views;On Youtube since;No. of videos
CNN;14000000;11832000000;October 2005;154969
ABC News (US);13200000;11413000000;August 2006;69619
BBC News;12500000;3721000000;April 2006;16079
Fox News;9590000;11613000000;September 2006;81656
Al Jazeera;9170000;2858000000;November 2006;97908
Vice News;7910000;2643000000;November 2013;6016
NBC News;6840000;4077000000;July 2006;38880
WION;6260000;2777000000;May 2016;76749
Sky News;5040000;2704000000;June 2006;24054
MSNBC;5020000;7991000000;December 2011;54830
CBS News;4450000;3498000000;September 2006;91630
DW;3990000;1392000000;September 2007;27643
Global News;3180000;1748000000;November 2009;29329
PBS Newshour;3160000;1754000000;November 2009;41006
CBC News;3120000;1630000000;July 2014;22015
The Sun;3060000;2344000000;June 2007;11210
The Telegraph;2920000;2213000000;November 2006;27940
The Guardian;2610000;2132000000;October 2014;12456
Sky News Australia;2560000;2015000000;June 2007;75869
Complex;2450000;198000000;March 2006;2134
Voice of America;2220000;994000000;March 2008;40190
Euronews;2180000;1221000000;September 2006;87209
CNBC Television;2130000;1374000000;May 2018;85483
Channel 4 News;2090000;1080000000;July 2006;13136
Now This News;1950000;1466000000;September 2012;16017
Daily Mail;1920000;1459000000;August 2012;48913
ABC News (Aus);1650000;728000000;June 2008;74239
SABC News;1600000;775000000;February 2012;173905
CBS Evening News;1540000;1285000000;April 2013;23824
AFP News Agency;1510000;776000000;January 2006;91294
CBC News: The National;1330000;765000000;October 2007;22554
On Demand News (ITN);1320000;1562000000;November 2006;24572
ITV News;1270000;741000000;October 2006;15090
Good Morning Britain;1080000;945000000;August 2014;10319
ABC News (Aus) In-depth;1030000;442000000;August 2019;2016
E! News;1030000;345000000;October 2005;7791
The Economist;2520000;238000000;March 2009;460
Vox;10700000;2915000000;March 2014;1395
The Young Turks;5190000;5771000000;December 2005;45425
The New York Times;4100000;1367000000;October 2006;10016
The Washington Post;2030000;1050000000;June 2006;18886
Forbes;1250000;146000000;May 2006;5225
USA Today;2110000;1183000000;March 2006;13098
The Wall Street Journal;6360000;1379000000;June 2007;26795
Insider;7660000;4245000000;September 2015;7348
