year,froogle_searches,most_searched
2005,1) iPod,1) Janet Jackson
2005,2) Digital Camera,2) Hurricane Katrina
2005,3) MP3 Player,3) Tsunami
2005,4) iPod Mini,4) Xbox 360
2005,5) PlayStation Portable,5) Brad Pitt
2005,6) Laptop,6) Michael Jackson
2005,7) Xbox,7) American Idol
2005,8) iPod Shuffle,8) Britney Spears
2005,9) Computer Desk,9) Angelina Jolie
2005,10) iPod Nano,10) Harry Potter
2006,1) Paris Hilton,1) Bebo
2006,2) Orlando Bloom,2) Myspace
2006,3) Cancer,3) World Cup
2006,4) Podcasting,4) Metacafe
2006,5) Hurricane Katrina,5) Radioblog
2006,6) Bankruptcy,6) Wikipedia
2006,7) Martina Hingis,7) Video
2006,8) Autism,8) Rebelde
2006,9) 2006 NFL Draft,9) Mininova
2006,10) Celebrity Big Brother 2006,10) Wiki
2007,1) American Idol,
2007,2) YouTube,
2007,3) Britney Spears,
2007,4) 2007 Cricket World Cup,
2007,5) Chris Benoit,
2007,6) iPhone,
2007,7) Anna Nicole Smith,
2007,8) Paris Hilton,
2007,9) Iran,
2007,10) Vanessa Hudgens,
2008,,
2008,,
2008,,
2008,,
2008,,
2008,,
2008,,
2008,,
2008,,
2008,,
2009,,
2009,,
2009,,
2009,,
2009,,
2009,,
2009,,
2009,,
2009,,
2009,Top Trending,
2010,1) Chatroulette,
2010,2) iPad,
2010,3) Justin Bieber,
2010,4) Nicki Minaj,
2010,5) Friv,
2010,6) Myxer,
2010,7) Katy Perry,
2010,8) Twitter,
2010,9) Gamezer,
2010,10) Facebook,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,Searches,
2012,1) Whitney Houston,
2012,2) Gangnam Style,
2012,3) Hurricane Sandy,
2012,4) iPad 3,
2012,5) Diablo 3,
2012,6) Kate Middleton,
2012,7) Olympics 2012,
2012,8) Amanda Todd,
2012,9) Michael Clarke Duncan,
2012,10) BBB12,
2013,1) Nelson Mandela,
2013,2) Paul Walker,
2013,3) iPhone 5s,
2013,4) Cory Monteith,
2013,5) Harlem Shake,
2013,6) Boston Marathon,
2013,7) Royal Baby,
2013,8) Samsung Galaxy S4,
2013,9) PlayStation 4,
2013,10) North Korea,
2014,1) Robin Williams,
2014,2) World Cup,
2014,3) Ebola,
2014,4) Malaysia Airlines,
2014,5) ALS Ice Bucket Challenge,
2014,6) Flappy Bird,
2014,7) Conchita Wurst,
2014,8) ISIS,
2014,9) Frozen,
2014,10) Sochi Olympics,
2015,1) Lamar Odom,
2015,2) Charlie Hebdo,
2015,3) Agar.io,
2015,4) Jurassic World,
2015,5) Paris,
2015,6) Furious 7,
2015,7) Fallout 4,
2015,8) Ronda Rousey,
2015,9) Caitlyn Jenner,
2015,10) American Sniper,
2016,1) Pokémon Go,
2016,2) iPhone 7,
2016,3) Donald Trump,
2016,4) Prince,
2016,5) Powerball,
2016,6) David Bowie,
2016,7) Deadpool,
2016,8) Olympics,
2016,9) Slither.io,
2016,10) Suicide Squad,
2017,1) Hurricane Irma,
2017,2) iPhone 8,
2017,3) iPhone X,
2017,4) Matt Lauer,
2017,5) Meghan Markle,
2017,6) 13 Reasons Why,
2017,7) Tom Petty,
2017,8) Fidget Spinner,
2017,9) Chester Bennington,
2017,10) India National Cricket Team,
2018,1) World Cup,
2018,2) Avicii,
2018,3) Mac Miller,
2018,4) Stan Lee,
2018,5) Black Panther,
2018,6) Meghan Markle,
2018,7) Anthony Bourdain,
2018,8) XXXTentacion,
2018,9) Stephen Hawking,
2018,10) Kate Spade,
2019,1) India vs South Africa,
2019,2) Cameron Boyce,
2019,3) Copa America,
2019,4) Bangladesh vs India,
2019,5) iPhone 11,
2019,6) Game of Thrones,
2019,7) Avengers: Endgame,
2019,8) Joker,
2019,9) Notre Dame,
2019,10) ICC Cricket World Cup,
2020,1) Coronavirus,
2020,2) Election results,
2020,3) Kobe Bryant,
2020,4) Zoom,
2020,5) IPL,
2020,6) India vs New Zealand,
2020,7) Coronavirus update,
2020,8) Coronavirus symptoms,
2020,9) Joe Biden,
2020,10) Google Classroom,
