;1;2;3;4;5;6;7;8;9;10
2019; Copa America; Notre Dame; ICC Cricket World Cup; Hurricane Dorian; Rugby World Cup; Sri Lanka; Area 51; India election results; __ 19 _; Fall of Berlin Wall
2018; World Cup; Hurricane Florence; Mega Millions Result; Royal Wedding; Election Results; Hurricane Michael; Kavanaugh Confirmation; Florida Shooting; Greve dos caminhoneiros; Government Shutdown
2017; Hurricane Irma; Bitcoin; Las Vegas Shooting; North Korea; Solar Eclipse; Hurricane Harvey; Manchester; Hurricane Jose; Hurricane Maria; April the Giraffe
2016; US Election; Olympics; Brexit; Orlando Shooting; Zika Virus; Panama Papers; Nice; Brussels; Dallas Shooting; Kumamoto Earthquake
2015; Charlie Hebdo; Paris; Hurricane Patricia; Isis; Nepal; El Chapo; Greece; Baltimore Riots; San Bernardino; Hurricane Joaquin
2014; Ebola; ISIS; Malaysia Airlines; Crimea / Ukraine; Ferguson; Gaza and Israel; Scotish Referendum; Oscar Pistorius trial;;
2013; Boston Marathon; Typhoon Haiyan; Government Shutdown; 2014 FIFA World Cup; Chinese New Year; Australian Open; Eurovision Song Contest; Wimbledon; Syria Conflict; EuroBasket
2012; Hurricane Sandy; Kate Middleton Pictures Released; Olympics 2012; SOPA Debate; Costa Concordia crash; Presidential Debate; Stratosphere Jump; Penn State Scandal; Trayvon Martin shooting; Pussy Riots
